NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,LongestStreak,CurrentStreak
2,1,Daft Punk,Discovery [Daft Punk],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harder Better Faster Stronger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harder Better Faster Stronger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
21,5,Maroon 5,Songs About Jane,NA,NA,NA,NA,Harder to Breathe,Harder to Breathe,Harder to Breathe,Harder to Breathe,Harder to Breathe,NA,NA,NA,NA,Harder to Breathe,NA,NA,Harder to Breathe,NA,Harder to Breathe,NA,Harder to Breathe,NA,NA,Harder to Breathe,Harder to Breathe,NA,NA,NA,NA,Harder to Breathe,NA,Harder to Breathe,Harder to Breathe,NA,NA,NA,NA,NA,NA,NA,Harder to Breathe,NA,NA,NA,Harder to Breathe,NA,NA,NA,NA,NA,NA,Harder to Breathe,Harder to Breathe,NA,NA,NA,NA,NA,NA,NA,NA,Harder to Breathe,NA,NA,NA,NA,NA,NA,Harder to Breathe,NA,NA,NA,NA,NA,NA,NA,NA,Harder to Breathe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
6,3,New Politics,Harlem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harlem,Harlem,Harlem,NA,NA,Harlem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harlem,NA,NA,NA,NA,Harlem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
5,1,Beyoncé,Beyoncé,NA,NA,NA,NA,NA,NA,Haunted,NA,NA,NA,NA,Haunted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Haunted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Haunted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Haunted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
13,4,Jason Mraz,Know.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Have It All,Have It All,Have It All,Have It All,NA,Have It All,Have It All,Have It All,NA,Have It All,Have It All,NA,NA,NA,Have It All,Have It All,NA,NA,NA,Have It All,NA,NA,Have It All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
17,10,Christian French,bright side of the moon - EP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,head first,head first,head first,head first,head first,head first,head first,head first,head first,head first,NA,head first,NA,head first,head first,NA,NA,head first,NA,NA,head first,NA,NA,head first,NA,NA,NA,NA,head first,NA,NA,NA,NA,NA,NA,NA,10,0
1,1,B.o.B,Underground Luxury,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HeadBand (feat. 2 Chainz),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
27,9,Imagine Dragons,Night Visions,Hear Me,Hear Me,Hear Me,Hear Me,Hear Me,Hear Me,Hear Me,Hear Me,Hear Me,NA,NA,Hear Me,NA,Hear Me,NA,NA,NA,Hear Me,Hear Me,NA,NA,NA,NA,NA,Hear Me,NA,Hear Me,NA,NA,NA,NA,NA,NA,NA,Hear Me,Hear Me,Hear Me,Hear Me,NA,NA,Hear Me,NA,Hear Me,NA,NA,NA,NA,NA,Hear Me,NA,NA,NA,Hear Me,NA,NA,NA,NA,NA,NA,NA,Hear Me,NA,NA,Hear Me,NA,NA,Hear Me,NA,NA,Hear Me,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0
3,1,Jay-Z,The Blueprint,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heart of the City (Ain't No Love),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heart of the City (Ain't No Love),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heart of the City (Ain't No Love),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
18,5,Childish Gambino,Camp,NA,Heartbeat,Heartbeat,Heartbeat,Heartbeat,NA,NA,NA,Heartbeat,Heartbeat,Heartbeat,Heartbeat,Heartbeat,NA,NA,NA,NA,NA,Heartbeat,Heartbeat,Heartbeat,NA,NA,NA,NA,NA,NA,NA,NA,Heartbeat,NA,NA,NA,NA,NA,NA,Heartbeat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heartbeat,Heartbeat,Heartbeat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heartbeat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
16,9,Jamie N Commons,Fever Dreams - EP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heartbreak,Heartbreak,Heartbreak,Heartbreak,Heartbreak,Heartbreak,Heartbreak,Heartbreak,Heartbreak,NA,Heartbreak,Heartbreak,NA,NA,Heartbreak,NA,Heartbreak,Heartbreak,Heartbreak,NA,Heartbreak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0
7,6,Niall Horan,Heartbreak Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heartbreak Weather,Heartbreak Weather,Heartbreak Weather,Heartbreak Weather,Heartbreak Weather,Heartbreak Weather,NA,Heartbreak Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
9,7,Wafia,Heartburn (Remixes) - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heartburn (Felix Cartal Remix),Heartburn (Felix Cartal Remix),Heartburn (Felix Cartal Remix),Heartburn (Felix Cartal Remix),Heartburn (Felix Cartal Remix),Heartburn (Felix Cartal Remix),Heartburn (Felix Cartal Remix),NA,Heartburn (Felix Cartal Remix),NA,NA,NA,NA,NA,Heartburn (Felix Cartal Remix),NA,NA,NA,NA,NA,NA,NA,NA,7,0
57,21,Kanye West,808s & Heartbreak,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,NA,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,NA,NA,NA,Heartless,Heartless,NA,Heartless,Heartless,Heartless,Heartless,Heartless,NA,NA,Heartless,NA,Heartless,Heartless,Heartless,NA,NA,NA,NA,NA,NA,Heartless,NA,NA,NA,NA,Heartless,NA,NA,Heartless,NA,NA,Heartless,NA,Heartless,Heartless,Heartless,Heartless,NA,Heartless,Heartless,Heartless,NA,Heartless,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0
16,13,Glass Animals,Dreamland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,Heat Waves,NA,Heat Waves,Heat Waves,NA,Heat Waves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0
6,6,twenty one pilots,Suicide Squad: The Album,NA,NA,NA,NA,NA,NA,Heathens,Heathens,Heathens,Heathens,Heathens,Heathens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
2,1,twenty one pilots,Blurryface,NA,NA,NA,Heavydirtysoul,NA,NA,NA,NA,NA,NA,NA,Heavydirtysoul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
13,7,Kanye West,My Beautiful Dark Twisted Fantasy,NA,NA,NA,NA,NA,NA,NA,Hell of a Life,Hell of a Life,Hell of a Life,Hell of a Life,Hell of a Life,Hell of a Life,Hell of a Life,NA,Hell of a Life,Hell of a Life,NA,NA,NA,NA,NA,NA,Hell of a Life,Hell of a Life,NA,NA,NA,Hell of a Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hell of a Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
1,1,Karmin,Hello,NA,NA,NA,NA,NA,NA,NA,NA,Hello,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
5,2,J. Cole,2014 Forest Hills Drive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hello [2],Hello [2],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hello [2],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hello [2],Hello [2],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
4,3,Adele,25,NA,NA,NA,NA,NA,NA,Hello [3],Hello [3],Hello [3],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hello [3],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
8,5,Jake Scott,Silhouettes & Sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hello Darling,Hello Darling,Hello Darling,Hello Darling,Hello Darling,NA,Hello Darling,NA,NA,NA,Hello Darling,NA,NA,Hello Darling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
16,5,Owl City,Ocean Eyes,NA,NA,NA,NA,NA,NA,NA,Hello Seattle,Hello Seattle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hello Seattle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hello Seattle,Hello Seattle,Hello Seattle,Hello Seattle,Hello Seattle,NA,NA,NA,Hello Seattle,NA,NA,NA,NA,Hello Seattle,Hello Seattle,Hello Seattle,Hello Seattle,Hello Seattle,NA,NA,NA,NA,NA,NA,NA,NA,Hello Seattle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hello Seattle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
6,4,The Beatles,Magical Mystery Tour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hello, Goodbye","Hello, Goodbye","Hello, Goodbye","Hello, Goodbye",NA,NA,NA,NA,NA,NA,NA,NA,"Hello, Goodbye",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hello, Goodbye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
15,6,The Beatles,Help!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Help!,NA,NA,NA,NA,Help!,Help!,Help!,Help!,Help!,Help!,NA,NA,Help!,NA,NA,NA,Help!,Help!,NA,NA,Help!,Help!,Help!,NA,NA,NA,NA,Help!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Help!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
20,3,Alessia Cara,Know-It-All,Here,NA,NA,NA,NA,NA,Here,Here,Here,NA,Here,NA,NA,NA,NA,Here,Here,Here,NA,NA,NA,NA,NA,NA,Here,NA,NA,NA,NA,NA,Here,Here,NA,NA,NA,Here,Here,NA,NA,Here,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Here,Here,Here,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Here,Here,NA,Here,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
2,2,Enrique Iglesias,Escape (Enrique Iglasias),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hero,Hero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
7,4,The Beatles,"Past Masters, Vols. 1 & 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hey Jude,Hey Jude,Hey Jude,Hey Jude,NA,NA,NA,NA,Hey Jude,NA,NA,NA,Hey Jude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hey Jude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
9,2,Plain White T's,All That We Needed,NA,NA,NA,NA,NA,NA,Hey There Delilah,NA,NA,NA,Hey There Delilah,Hey There Delilah,NA,NA,NA,NA,NA,Hey There Delilah,Hey There Delilah,NA,NA,NA,NA,NA,NA,NA,NA,Hey There Delilah,NA,NA,NA,NA,NA,NA,Hey There Delilah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hey There Delilah,Hey There Delilah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
1,1,OutKast,Speakerboxxx/The Love Below,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hey Ya!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
21,11,Sir Sly,"Don't You Worry, Honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,NA,NA,High,High,High,High,High,High,High,High,High,High,High,NA,High,NA,NA,NA,NA,High,High,NA,NA,NA,NA,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0
3,2,SHAED,High Dive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Dive (feat. Lewis Del Mar),High Dive (feat. Lewis Del Mar),NA,NA,NA,NA,NA,NA,NA,High Dive (feat. Lewis Del Mar),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
17,12,Betty Who,Take Me When You Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Society,High Society,High Society,High Society,High Society,High Society,High Society,High Society,High Society,High Society,High Society,High Society,NA,High Society,NA,NA,High Society,NA,High Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Society,NA,NA,NA,NA,NA,NA,NA,NA,12,0
1,1,Tiao Cruz,Rokstarr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Higher (feat. Travie McCoy) [Bonus Track],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
3,1,G-Eazy,The Beautiful & Damned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Him & I (feat. Halsey),NA,Him & I (feat. Halsey),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Him & I (feat. Halsey),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
2,1,Shakira,"Oral Fixation, Vol. 2",NA,NA,NA,NA,NA,NA,Hips Don't Lie (feat. Wyclef Jean),NA,Hips Don't Lie (feat. Wyclef Jean),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
13,6,One Direction,Made In The A.M.,History,History,History,History,History,History,NA,History,History,NA,NA,NA,History,History,NA,NA,NA,History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,History,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
3,1,Jay Sean,Hit the Lights (feat. Lil Wayne) - Single,NA,NA,NA,NA,NA,NA,Hit the Lights (feat. Lil Wayne),NA,Hit the Lights (feat. Lil Wayne),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hit the Lights (feat. Lil Wayne),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
7,5,A Great Big World,When the Morning Comes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hold Each Other (feat. FUTURISTIC),NA,Hold Each Other (feat. FUTURISTIC),Hold Each Other (feat. FUTURISTIC),Hold Each Other (feat. FUTURISTIC),Hold Each Other (feat. FUTURISTIC),Hold Each Other (feat. FUTURISTIC),NA,Hold Each Other (feat. FUTURISTIC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
7,4,Halsey,BADLANDS,NA,NA,Hold Me Down,Hold Me Down,Hold Me Down,Hold Me Down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hold Me Down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hold Me Down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hold Me Down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
